"id",Market,Product Name,Price,Original Price,Discount,Image URL,Local Image Path
"57","Tamstore Khatai","Mr Muscle Boru Açıcı 70qr","4.28","5.24","18%","https://imageproxy.wolt.com/assets/68a5c3af2bf4cafab97c23ef","images/mr_muscle_boru_a__c__70qr_56.jpg"
"58","Tamstore Khatai","Milka Konfet Südlü Şok Krem 110qr","3.99","9.69","59%","https://imageproxy.wolt.com/assets/68a5c49e10ec70798b76bfb9","images/milka_konfet_s_dl___ok_krem_110qr_57.jpg"
"59","Tamstore Khatai","Perwoll Yuyucu Maye 2.97l Renkli (Tr)","13.98","20.48","32%","https://wolt-menu-images-cdn.wolt.com/menu-images/68ad527871323d956d4b3edd/6971bc1c-89c6-11f0-af60-129de9ba93bf_123657.jpg","images/perwoll_yuyucu_maye_2_97l_renkli__tr__58.jpg"
"60","Tamstore Khatai","Tems Kapsul 36li 4x Guc","10.98","17.98","39%","https://wolt-menu-images-cdn.wolt.com/menu-images/68ad527871323d956d4b3edd/3263d1fe-8a5e-11f0-af12-fa6edc3fbd5f_130433.jpg","images/tems_kapsul_36li_4x_guc_59.jpg"
"61","Tamstore Khatai","FRENCH COW FRANSA KERE YAGI 1 KG EDED","24.95","28.90","14%","https://imageproxy.wolt.com/assets/68ad7c0096fbe9c58f97cb18","images/french_cow_fransa_kere_yagi_1_kg_eded_60.jpg"
"62","Tamstore Khatai","Mercan Təzə Toyuq Bud Dibi Açıq kq","5.99","7.05","15%","No image",""
"63","Tamstore Khatai","Persil Yuyucu Toz Avtomat Rəngli 3kq","11.98","18.98","37%","https://wolt-menu-images-cdn.wolt.com/menu-images/68ad527871323d956d4b3edd/eca0328c-8cc6-11f0-a282-c2d05ddf245e_9000101815160.jpg","images/persil_yuyucu_toz_avtomat_r_ngli_3kq_62.jpg"
"64","Tamstore Khatai","Porcoz Banyo Sprey 750 ml","3.98","5.28","25%","https://imageproxy.wolt.com/assets/68a6ff7772cf20388ef45515","images/porcoz_banyo_sprey_750_ml_63.jpg"
"65","Tamstore Khatai","Oreo Sudlu Pecenya 228qr","2.99","5.09","41%","https://imageproxy.wolt.com/assets/68a81fb7324d140dfd41a737","images/oreo_sudlu_pecenya_228qr_64.jpg"
"66","Tamstore Khatai","Oven Hotdoq","0.75","0.90","17%","No image",""
"67","Tamstore Khatai","Milka Şokolad 80qr Südlü","2.29","5.39","58%","https://imageproxy.wolt.com/assets/68a5c8ef72cf20388ef41153","images/milka__okolad_80qr_s_dl__66.jpg"
"68","Tamstore Khatai","Selpak Komfort Salfet 150əd 24x24","0.98","1.48","34%","https://imageproxy.wolt.com/assets/68a81fe3324d140dfd41a7f3","images/selpak_komfort_salfet_150_d_24x24_67.jpg"
"69","Tamstore Khatai","Yubileynoe Peçenye Tradision 224qr","1.99","2.69","26%","https://imageproxy.wolt.com/assets/68a82ca0324d140dfd41addd","images/yubileynoe_pe_enye_tradision_224qr_68.jpg"
"70","Tamstore Khatai","Aura Ətirli Tualet Kağızı 4 rulon 3 qat","2.98","6.28","53%","https://imageproxy.wolt.com/assets/68a6fb2772cf20388ef452b7","images/aura__tirli_tualet_ka__z__4_rulon_3_qat_69.jpg"
"71","Tamstore Khatai","Pınar Ac Bitir Hindi Salam Büyük Dilim 60qr","1.68","2.34","28%","https://imageproxy.wolt.com/assets/68a81fe0324d140dfd41a7de","images/p_nar_ac_bitir_hindi_salam_b_y_k_dilim_60qr_70.jpg"
"72","Tamstore Khatai","Macromax Təmizlik Bezi 5əd.","3.98","4.98","20%","https://wolt-menu-images-cdn.wolt.com/menu-images/68ad527871323d956d4b3edd/ca6c8fba-89c6-11f0-b518-c2aada6e618d_134589.jpg","images/macromax_t_mizlik_bezi_5_d__71.jpg"
"73","Tamstore Khatai","Asperox Seth Təmizləyici 2.5l Aşk Masalı","5.98","6.98","14%","https://wolt-menu-images-cdn.wolt.com/menu-images/68ad527871323d956d4b3edd/1173116c-8a5e-11f0-b32c-024768004332_124979.jpg","images/asperox_seth_t_mizl_yici_2_5l_a_k_masal__72.jpg"
"74","Tamstore Khatai","Peanuts Yer Fıstığı 185 qr","2.38","2.68","11%","https://imageproxy.wolt.com/assets/68ac5b0c6815835c18a5e3e6","images/peanuts_yer_f_st____185_qr_73.jpg"
"75","Tamstore Khatai","Hicaz Təzə Toyuq Paket (kq.)","5.28","6.68","21%","No image",""
"76","Tamstore Khatai","Papia Tualet Kağızı 4 Rulon 4 Qat Deluxe","3.98","5.28","25%","https://imageproxy.wolt.com/assets/68a6ff7772cf20388ef45512","images/papia_tualet_ka__z__4_rulon_4_qat_deluxe_75.jpg"
"77","Tamstore Khatai","Aktivia İçməli Yogurt 260qr","1.74","2.08","16%","https://imageproxy.wolt.com/assets/68a82c8310ec70798b772f09","images/aktivia___m_li_yogurt_260qr_76.jpg"
"78","Tamstore Khatai","Doa Limon Ətirli Süngərli Qabyuyan Maye 1000 ml (TR)","3.98","4.98","20%","https://wolt-menu-images-cdn.wolt.com/menu-images/68ad527871323d956d4b3edd/8c120ae2-89c6-11f0-9ca9-328bf6c4ec32_128773.jpg","images/doa_limon__tirli_s_ng_rli_qabyuyan_maye_1000_ml__t_77.jpg"
"79","Tamstore Khatai","Atena Süd Uht 0.5% 1lt","1.98","2.48","20%","https://imageproxy.wolt.com/assets/68a47ed32bf4cafab97bf22f","images/atena_s_d_uht_0_5__1lt_78.jpg"
